Time    Z,m
11:09:45 2.71
11:09:47 2.65
11:09:49 2.62
11:09:51 2.50
11:09:53 2.47
11:09:55 2.38
11:09:57 2.41
11:09:59 2.26
11:10:01 2.16
11:10:03 2.04
11:10:05 1.92
11:10:07 1.83
11:10:09 1.77
11:10:11 1.77
11:10:13 1.92
11:10:15 1.98
11:10:17 2.13
11:10:19 2.26
11:10:21 2.35
11:10:23 2.56
11:10:25 2.87
11:10:27 3.41
11:10:29 3.78
11:10:31 3.87
11:10:33 3.84
11:10:35 3.84
11:10:37 3.84
11:10:39 3.84
11:10:41 3.87
11:10:43 3.87
11:10:45 3.93
11:10:47 3.93
11:10:49 3.93
11:10:51 3.96
11:10:53 3.99
11:10:55 4.05
11:10:57 4.05
11:10:59 4.05
11:11:01 3.99
11:11:03 3.87
11:11:05 3.63
11:11:07 3.26
11:11:09 2.87
11:11:11 2.59
11:11:13 2.41
11:11:15 2.35
11:11:17 2.19
11:11:19 1.95
11:11:21 1.77
11:11:23 1.52
11:11:25 1.34
11:11:27 1.34
11:11:29 1.43
11:11:31 1.52
11:11:33 1.43
11:11:35 1.31
11:11:37 1.37
11:11:39 1.58
11:11:41 1.58
11:11:43 1.37
11:11:45 1.46
11:11:47 1.62
11:11:49 1.68
11:11:51 1.74
11:11:53 1.86
11:11:55 1.98
11:11:57 1.86
11:11:59 1.98
11:12:01 2.07
11:12:03 2.13
11:12:05 2.04
11:12:07 1.98
11:12:09 1.89
11:12:11 1.68
11:12:13 1.62
11:12:15 1.77
11:12:17 1.86
11:12:19 1.83
11:12:21 1.95
11:12:23 1.89
11:12:25 2.04
11:12:27 2.01
11:12:29 1.98
11:12:31 2.19
11:12:33 2.04
11:12:35 2.16
11:12:37 2.29
11:12:39 2.35
11:12:41 2.04
11:12:43 1.62
11:12:45 1.43
11:12:47 1.62
11:12:49 1.58
11:12:51 1.71
11:12:53 1.89
11:12:55 2.23
11:12:57 2.19
11:12:59 2.04
11:13:01 1.86
11:13:03 1.77
11:13:05 1.83
11:13:07 1.95
11:13:09 2.07
11:13:11 2.10
11:13:13 2.07
11:13:15 2.13
11:13:17 2.01
11:13:19 1.83
11:13:21 1.77
11:13:23 1.80
11:13:25 1.83
11:13:27 1.89
11:13:29 1.95
11:13:31 1.98
11:13:33 1.98
11:13:35 1.95
11:13:37 1.92
11:13:39 1.77
11:13:41 1.74
11:13:43 1.80
11:13:45 1.68
11:13:47 1.65
11:13:49 1.62
11:13:51 1.58
11:13:53 1.58
11:13:55 1.89
11:13:57 2.13
11:13:59 2.38
11:14:01 2.62
11:14:03 2.77
11:14:05 2.99
11:14:07 2.93
11:14:09 2.80
11:14:11 2.99
11:14:13 2.90
11:14:15 2.77
11:14:17 2.56
11:14:19 2.32
11:14:21 2.04
11:14:23 1.74
11:14:25 1.62
11:14:27 1.49
11:14:29 1.37
11:14:31 1.25
11:14:33 1.10
11:14:35 1.10
11:14:37 1.19
11:14:39 1.25
11:14:41 1.52
11:14:43 1.80
11:14:45 1.95
11:14:47 2.07
11:14:49 2.32
11:14:51 2.53
11:14:53 2.68
11:14:55 2.77
11:14:57 2.87
11:14:59 2.87
11:15:01 2.90
11:15:03 2.83
11:15:05 2.80
11:15:07 2.83
11:15:09 2.80
11:15:11 2.71
11:15:13 2.68
11:15:15 2.53
11:15:17 2.47
11:15:19 2.47
11:15:21 2.38
11:15:23 2.32
11:15:25 2.26
11:15:27 2.26
11:15:29 2.19
11:15:31 2.13
11:15:33 2.04
11:15:35 1.83
11:15:37 1.68
11:15:39 1.55
11:15:41 1.46
11:15:43 1.40
11:15:45 1.25
11:15:47 1.16
11:15:49 1.13
11:15:51 1.13
11:15:55 0.91
11:15:57 0.91
11:16:05 2.04
11:16:07 2.07
11:16:09 2.23
11:16:11 2.47
11:16:13 2.53
11:16:15 2.62
11:16:17 2.71
11:16:19 2.80
11:16:21 2.83
11:16:23 2.87
11:16:25 2.87
11:16:27 2.87
11:16:29 2.83
11:16:31 2.80
11:16:33 2.77
11:16:35 2.77
11:16:37 2.71
11:16:39 2.65
11:16:41 2.56
11:16:43 2.47
11:16:45 2.35
11:16:47 2.29
11:16:49 2.16
11:16:51 2.04
11:16:53 1.95
11:16:55 1.86
11:16:57 1.83
11:16:59 1.80
11:17:01 1.74
11:17:03 1.74
11:17:05 1.74
11:17:07 1.71
11:17:09 1.71
11:17:11 1.71
11:17:13 1.74
11:17:15 1.77
11:17:17 1.80
11:17:19 1.86
11:17:21 1.92
11:17:23 1.98
11:17:25 2.01
11:17:27 2.04
11:17:29 2.13
11:17:31 2.16
11:17:33 2.23
11:17:35 2.29
11:17:37 2.35
11:17:39 2.41
11:17:41 2.47
11:17:43 2.50
11:17:45 2.53
11:17:47 2.56
11:17:49 2.56
11:17:51 2.59
11:17:53 2.62
11:17:55 2.62
11:17:57 2.65
11:17:59 2.71
11:18:01 2.77
11:18:03 2.77
11:18:05 2.74
11:18:07 2.74
11:18:09 2.71
11:18:11 2.65
11:18:13 2.65
11:18:15 2.65
11:18:17 2.62
11:18:19 2.59
11:18:21 2.53
11:18:23 2.53
11:18:25 2.56
11:18:27 2.62
11:18:29 2.65
11:18:31 2.62
11:18:33 2.56
11:18:35 2.50
11:18:37 2.41
11:18:39 2.19
11:18:41 2.16
11:18:43 2.26
11:18:45 2.07
11:18:47 2.10
11:18:49 2.16
11:18:51 2.13
11:18:53 2.01
11:18:55 1.86
11:18:57 1.77
11:18:59 1.95
11:19:01 1.98
11:19:03 2.23
11:19:05 2.50
11:19:07 2.74
11:19:09 2.93
11:19:11 3.05
11:19:13 3.26
11:19:15 3.32
11:19:17 3.44
11:19:19 3.54
11:19:21 3.54
11:19:23 3.47
11:19:25 3.41
11:19:27 3.26
11:19:29 3.11
11:19:31 3.08
11:19:33 3.08
11:19:35 2.99
11:19:37 3.02
11:19:39 2.99
11:19:41 2.83
11:19:43 2.62
11:19:45 2.68
11:19:47 2.71
11:19:49 2.68
11:19:51 2.59
11:19:53 2.74
11:19:55 2.77
11:19:57 3.26
11:19:59 3.35
11:20:01 3.14
11:20:03 3.08
11:20:05 3.23
11:20:07 3.32
11:20:09 3.41
11:20:11 3.51
11:20:13 3.66
11:20:15 3.75
11:20:17 3.75
11:20:19 3.84
11:20:21 4.24
11:20:23 4.57
11:20:25 4.54
11:20:27 4.51
11:20:29 4.42
11:20:31 4.36
11:20:33 4.15
11:20:35 3.96
11:20:37 3.78
11:20:39 3.63
11:20:41 3.47
11:20:43 3.44
11:20:45 3.66
11:20:47 3.96
11:20:49 4.11
11:20:51 3.99
11:20:53 4.11
11:20:55 4.15
11:20:57 4.27
11:20:59 4.33
11:21:01 4.24
11:21:03 4.24
11:21:05 4.15
11:21:07 4.15
11:21:09 4.11
11:21:11 4.08
11:21:13 4.02
11:21:15 3.99
11:21:17 3.93
11:21:19 3.90
11:21:21 3.84
11:21:23 3.78
11:21:25 3.72
11:21:27 3.66
11:21:29 3.57
11:21:31 3.51
11:21:33 3.38
11:21:35 3.29
11:21:37 3.14
11:21:39 3.05
11:21:41 3.11
11:21:43 3.23
11:21:45 3.26
11:21:47 3.32
11:21:49 3.35
11:21:51 3.44
11:21:53 3.54
11:21:55 3.63
11:21:57 3.72
11:21:59 3.81
11:22:01 3.87
11:22:03 3.99
11:22:05 4.05
11:22:07 4.11
11:22:09 4.18
11:22:11 4.27
11:22:13 4.30
11:22:15 4.30
11:22:17 4.30
11:22:19 4.33
11:22:21 4.39
11:22:23 4.42
11:22:25 4.45
11:22:27 4.48
11:22:29 4.51
11:22:31 4.57
11:22:33 4.69
11:22:35 4.66
11:22:37 4.63
11:22:39 4.63
11:22:41 4.63
11:22:43 4.60
11:22:45 4.60
11:22:47 4.57
11:22:49 4.54
11:22:51 4.51
11:22:53 4.51
11:22:55 4.51
11:22:57 4.45
11:22:59 4.39
11:23:01 4.42
11:23:03 4.39
11:23:05 4.33
11:23:07 4.33
11:23:09 4.39
11:23:11 4.39
11:23:13 4.39
