Number North East Height
1 4734015.252 268286.049 781.60
2 4733999.843 268316.091 782.86
3 4733980.110 268352.247 784.00
4 4733972.068 268377.115 782.98
5 4733962.624 268401.763 781.60
6 4733951.301 268428.234 783.13
7 4733943.240 268445.272 781.60
8 4733935.118 268463.539 781.60
9 4733931.609 268471.700 782.82
10 4733920.497 268494.586 782.64
11 4733914.353 268508.702 782.35
12 4733905.891 268528.116 782.70
13 4733892.379 268558.749 782.32
14 4733888.047 268567.906 781.60
15 4733884.360 268576.009 781.60
16 4733876.362 268592.279 782.53
17 4733866.207 268615.505 782.48
18 4733856.109 268637.633 782.50
19 4733847.242 268657.891 782.58
20 4733864.321 268677.035 782.61
21 4733885.230 268695.812 782.60
22 4733918.554 268702.029 782.84
23 4733946.475 268706.306 782.71
24 4733972.624 268711.038 782.63
25 4734009.996 268716.957 782.56
26 4734047.914 268722.048 782.57
27 4734063.102 268700.296 782.69
28 4734081.112 268671.485 783.02
29 4734099.720 268641.789 782.71
30 4734120.970 268607.630 783.10
31 4734139.440 268577.888 783.00
32 4734158.353 268547.374 782.73
33 4734171.168 268526.322 783.20
34 4734188.691 268497.682 782.96
35 4734202.602 268474.874 782.77
36 4734215.474 268453.905 782.64
37 4734229.086 268428.703 781.60
38 4734240.321 268413.311 782.63
39 4734254.187 268389.901 782.86
40 4734268.052 268373.159 782.96
41 4734276.588 268358.834 783.05
42 4734279.572 268347.938 782.99
43 4734261.595 268327.554 783.08
44 4734246.306 268303.730 782.72
45 4734233.895 268279.327 782.63
46 4734220.771 268262.762 782.98
47 4734211.198 268235.406 783.31
48 4734197.609 268212.344 783.99
49 4734181.694 268190.536 783.39
50 4734171.000 268175.456 782.81
51 4734160.647 268159.420 782.57
101 4733999.927 268361.817 781.60
102 4733983.431 268383.263 781.60
103 4733965.263 268434.933 781.60
104 4733938.006 268474.534 781.60
105 4733929.199 268499.029 781.60
106 4733941.108 268547.098 781.60
107 4733915.358 268568.602 781.60
108 4733881.042 268594.049 781.60
109 4733893.744 268627.424 781.60
110 4733890.722 268646.999 781.60
111 4733892.798 268658.249 781.60
112 4733925.747 268652.538 781.60
113 4733953.763 268661.894 781.60
114 4733979.107 268666.492 781.60
115 4734013.846 268677.135 781.60
116 4734038.020 268683.825 781.60
117 4734048.896 268651.139 781.60
118 4734064.775 268622.308 781.60
119 4734083.557 268582.608 781.60
120 4734101.309 268553.977 781.60
121 4734119.717 268524.272 781.60
122 4734133.643 268499.704 781.60
123 4734146.245 268467.611 781.60
124 4734171.171 268453.500 781.60
125 4734194.379 268440.477 781.60
126 4734224.886 268404.037 781.60
127 4734232.060 268376.239 781.60
128 4734241.241 268355.674 781.60
129 4734247.931 268340.510 781.60
130 4734235.855 268309.614 781.60
131 4734221.079 268287.143 781.60
132 4734210.571 268269.098 781.60
133 4734192.806 268247.481 781.60
134 4734173.798 268227.093 781.60
135 4734168.542 268199.670 781.60
136 4734165.226 268179.416 781.60
137 4734156.788 268162.600 781.60
