Time North East
11:09:43 4734068.679 268187.696
11:09:45 4734069.428 268187.448
11:09:47 4734065.952 268187.969
11:09:49 4734066.836 268187.384
11:09:51 4734066.068 268185.423
11:09:53 4734066.539 268185.211
11:09:55 4734066.227 268185.292
11:09:57 4734066.354 268185.205
11:09:59 4734066.241 268184.882
11:10:01 4734065.798 268185.186
11:10:03 4734066.230 268185.201
11:10:05 4734066.316 268182.653
11:10:07 4734065.932 268183.050
11:10:09 4734066.489 268183.023
11:10:11 4734066.438 268182.680
11:10:13 4734065.953 268183.347
11:10:15 4734066.897 268182.809
11:10:17 4734066.141 268182.351
11:10:19 4734068.625 268182.867
11:10:21 4734069.196 268183.342
11:10:23 4734069.813 268183.340
11:10:25 4734072.941 268181.236
11:10:27 4734076.145 268180.547
11:10:29 4734078.119 268181.547
11:10:31 4734079.386 268181.544
11:10:33 4734082.426 268181.122
11:10:35 4734084.798 268181.315
11:10:37 4734084.889 268183.208
11:10:39 4734084.270 268185.988
11:10:41 4734084.981 268185.967
11:10:43 4734084.846 268188.148
11:10:45 4734081.650 268187.699
11:10:47 4734081.095 268190.413
11:10:49 4734078.641 268189.921
11:10:51 4734078.002 268192.404
11:10:53 4734078.314 268192.323
11:10:55 4734075.029 268194.490
11:10:57 4734074.935 268197.288
11:10:59 4734072.567 268196.981
11:11:01 4734072.182 268199.267
11:11:03 4734069.138 268198.869
11:11:05 4734065.638 268199.162
11:11:07 4734066.200 268198.998
11:11:09 4734062.771 268201.775
11:11:11 4734063.646 268200.552
11:11:13 4734058.773 268203.121
11:11:15 4734059.310 268205.530
11:11:17 4734059.403 268207.355
11:11:19 4734058.697 268209.972
11:11:21 4734056.015 268212.592
11:11:23 4734056.614 268212.248
11:11:25 4734055.975 268216.553
11:11:27 4734052.493 268219.077
11:11:29 4734052.921 268221.050
11:11:31 4734052.419 268223.128
11:11:33 4734049.002 268225.563
11:11:35 4734049.375 268225.508
11:11:37 4734049.191 268228.211
11:11:39 4734049.703 268230.437
11:11:41 4734049.561 268231.912
11:11:43 4734051.540 268232.776
11:11:45 4734052.559 268234.609
11:11:47 4734051.836 268236.816
11:11:49 4734054.790 268238.987
11:11:51 4734054.496 268239.455
11:11:53 4734055.073 268241.592
11:11:55 4734054.768 268244.246
11:11:57 4734055.230 268246.129
11:11:59 4734054.597 268248.430
11:12:01 4734054.586 268250.593
11:12:03 4734054.263 268255.614
11:12:05 4734051.745 268257.943
11:12:07 4734051.872 268259.701
11:12:09 4734051.011 268264.181
11:12:11 4734047.794 268266.168
11:12:13 4734047.387 268270.936
11:12:15 4734047.617 268273.311
11:12:17 4734047.574 268278.251
11:12:19 4734048.052 268279.656
11:12:21 4734046.755 268282.436
11:12:23 4734047.324 268287.556
11:12:25 4734048.015 268289.059
11:12:27 4734046.780 268293.640
11:12:29 4734046.787 268296.213
11:12:31 4734047.049 268300.366
11:12:33 4734046.414 268302.713
11:12:35 4734046.461 268304.991
11:12:37 4734046.303 268309.722
11:12:39 4734043.388 268311.902
11:12:41 4734043.239 268316.359
11:12:43 4734043.042 268318.562
11:12:45 4734042.870 268320.901
11:12:47 4734039.723 268325.441
11:12:49 4734039.761 268327.969
11:12:51 4734040.015 268330.528
11:12:53 4734040.238 268334.930
11:12:55 4734039.978 268336.242
11:12:57 4734038.579 268339.269
11:12:59 4734039.590 268341.353
11:13:01 4734036.034 268346.106
11:13:03 4734036.394 268348.259
11:13:05 4734036.150 268350.026
11:13:07 4734032.298 268352.539
11:13:09 4734032.623 268357.559
11:13:11 4734033.178 268359.445
11:13:13 4734029.384 268363.894
11:13:15 4734029.342 268366.079
11:13:17 4734026.065 268368.018
11:13:19 4734025.660 268370.897
11:13:21 4734026.419 268373.131
11:13:23 4734023.169 268375.185
11:13:25 4734022.952 268377.045
11:13:27 4734019.290 268377.582
11:13:29 4734020.127 268379.341
11:13:31 4734019.315 268381.454
11:13:33 4734015.965 268383.733
11:13:35 4734016.018 268386.740
11:13:37 4734013.853 268388.671
11:13:39 4734013.422 268390.501
11:13:41 4734009.673 268392.698
11:13:43 4734009.654 268395.111
11:13:45 4734009.771 268397.142
11:13:47 4734006.260 268399.620
11:13:49 4734006.612 268402.022
11:13:51 4734006.696 268404.120
11:13:53 4734006.444 268404.248
11:13:55 4734006.562 268406.256
11:13:57 4734006.102 268408.927
11:13:59 4734006.584 268411.130
11:14:01 4734006.382 268413.491
11:14:03 4734006.430 268415.747
11:14:05 4734006.328 268417.861
11:14:07 4734006.031 268420.265
11:14:09 4734006.156 268422.068
11:14:11 4734005.429 268424.411
11:14:13 4734005.465 268427.008
11:14:15 4734002.731 268429.330
11:14:17 4734002.869 268430.770
11:14:19 4734001.636 268433.461
11:14:21 4734002.174 268435.824
11:14:23 4733999.117 268437.657
11:14:25 4733998.571 268440.121
11:14:27 4733998.783 268442.086
11:14:29 4733995.178 268444.607
11:14:31 4733995.585 268447.216
11:14:33 4733995.943 268449.414
11:14:35 4733998.832 268451.697
11:14:37 4733998.634 268453.921
11:14:39 4733998.511 268455.739
11:14:41 4734000.952 268456.618
11:14:43 4734001.980 268458.201
11:14:45 4734000.893 268461.147
11:14:47 4734004.859 268463.534
11:14:49 4734004.770 268465.262
11:14:51 4734003.928 268468.262
11:14:53 4734004.877 268470.366
11:14:55 4734004.540 268472.131
11:14:57 4734003.783 268474.451
11:14:59 4734000.708 268476.807
11:15:01 4734000.852 268479.886
11:15:03 4733998.780 268481.820
11:15:05 4733998.343 268483.786
11:15:07 4733997.869 268485.956
11:15:09 4733994.593 268487.873
11:15:11 4733994.170 268490.364
11:15:13 4733991.243 268494.751
11:15:15 4733991.077 268496.932
11:15:17 4733987.769 268499.826
11:15:19 4733988.709 268501.247
11:15:21 4733984.335 268503.696
11:15:23 4733984.675 268506.440
11:15:25 4733982.154 268507.949
11:15:27 4733981.146 268510.375
11:15:29 4733981.317 268512.658
11:15:31 4733978.149 268515.011
11:15:33 4733978.328 268517.066
11:15:35 4733974.853 268519.386
11:15:37 4733975.008 268521.213
11:15:39 4733974.363 268522.011
11:15:41 4733975.424 268523.549
11:15:43 4733974.291 268526.016
11:15:45 4733971.431 268528.402
11:15:47 4733971.652 268530.117
11:15:49 4733970.796 268532.616
11:15:53 4733970.972 268537.518
11:15:55 4733971.466 268536.578
11:16:03 4733976.167 268541.927
11:16:05 4733976.947 268544.458
11:16:07 4733980.341 268544.526
11:16:09 4733983.372 268544.400
11:16:11 4733982.996 268546.414
11:16:13 4733985.734 268546.733
11:16:15 4733985.949 268549.541
